,business_id,name,neighborhood,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,categories,business_ref
1269,5P7wNc00AXaCMDss69_avg,"""Hunter's Tryst""",,"""97 Oxgangs Road""",Edinburgh,EDH,EH10 7AZ,55.902473720299994,-3.2209353894,2.5,10,1,Restaurants;Gastropubs;British,1269
1278,_FgODqQclua0klHLsFBmMg,"""Deep Sea Carry-Out""",New Town,"""2 Antigua Street""",Edinburgh,EDH,EH1 3NH,55.95779640000001,-3.1853442000000003,4.0,13,1,Fish & Chips;Restaurants,1278
1313,BQkfjQlvnaqHKSZuBAQflQ,"""Bay Of Bengal""",Old Town,"""164 High Street""",Edinburgh,EDH,EH1 1QS,55.9497598,-3.1891067000000004,2.5,13,1,Pakistani;Vegetarian;Restaurants;Indian,1313
1350,pulzr7A652UeikB_6qiSSw,"""Javit's Takeaway""",,"""207-211 West Granton Road""",Edinburgh,MLN,EH5 1PD,55.9783157,-3.2329172,4.0,10,1,Restaurants;Fast Food,1350
1430,9pUBqtJzAtM0KsKt45u0Ug,"""Snax""",Leith,"""Duke St""",Edinburgh,EDH,EH6 8,55.9694393779,-3.1685471535,3.5,3,1,Fast Food;Restaurants,1430
1555,1ZzE1R_8q-DbDX6fCux4pg,"""Eighty Queen Street""",New Town,"""80 Queen Street""",Edinburgh,EDH,EH2 4NF,55.95319839999999,-3.2070729,3.5,6,0,Bars;British;Nightlife;Restaurants;Pubs,1555
1712,3PBtdSIyhMmxwPt7yHN9AA,"""Sala Cafe Bar""",New Town,"""58a Broughton Street""",Edinburgh,EDH,EH1 3SA,55.958716599999995,-3.1903597,4.5,3,0,Restaurants;Nightlife;Food;Cafes;Bars;Gay Bars;Coffee & Tea,1712
1993,vMkEiN96N2sv_Wla9xFsNQ,"""The Deli""",Morningside,"""324 Morningside Road""",Edinburgh,EDH,EH10 4QJ,55.9294259,-3.2096012000000003,4.5,3,1,Delis;Restaurants,1993
2019,dgStCncJmIUd5BA8eYAsSQ,"""Caffe Piccolo""",Grassmarket,"""29 Grassmarket""",Edinburgh,EDH,EH1 2HS,55.947118,-3.1964728,3.0,5,1,Cafes;Restaurants,2019
2024,TXuhhudKvAb3JIYD_wELhg,"""La Garrigue""",Royal Mile,"""31 Jeffrey Street""",Edinburgh,EDH,EH1 1DH,55.951195042399995,-3.1854110847,4.0,26,1,French;Restaurants;Wine Bars;Nightlife;Bars,2024
2297,mGp_u4o32WwqejkGbcZByA,"""Hong""",Marchmont,"""21 Argyle Place""",Edinburgh,EDH,EH9 1JJ,55.938429000000006,-3.191725,3.5,9,1,Fast Food;Restaurants,2297
2325,xlHRYejgZj-iTm-QPhc8zQ,"""The Ship on the Shore""",Leith,"""24-26 The Shore""",Edinburgh,EDH,EH6 6QN,55.9768348,-3.1691219,4.0,38,1,Restaurants;Seafood,2325
2505,9d1Vdmo2RbvFW9EQom31MQ,"""Hungry Howie's Pizza""",,"""1033 S Court St""",Medina,OH,44256,41.1201959,-81.8649687,4.0,5,0,Pizza;Restaurants,2505
2576,P_8hs6FRRn8IVBg5G6c0rg,"""Silver Bowl""",Leith,"""311 Leith Walk""",Edinburgh,EDH,EH6 8SA,55.964667299999995,-3.1763835,4.0,16,1,Thai;Chinese;Restaurants;Fast Food,2576
2617,naaSy_C5ZCVXH-3n9ruWcw,"""Sing Thai""",Stockbridge,"""42 St Stephen Street""",Edinburgh,EDH,EH3 5AL,55.9578392754,-3.2064382286,4.0,4,0,Restaurants;Thai,2617
2863,Mpys1ICciY4D43ixsn9eKw,"""Garfunkels Restaurants""",Old Town,"""130 High Street, Old Town""",Edinburgh,EDH,EH1 1QS,55.9497989,-3.1887087000000003,3.0,25,0,Restaurants;Food;Coffee & Tea;American (Traditional),2863
3215,h_LI0mOEM5bhRU8wlIZO1A,"""Carlos""",,"""227 Portobello High Street""",Edinburgh,EDH,EH15 2AN,55.9520611,-3.1115658,4.0,4,1,Restaurants;Fish & Chips,3215
3229,ORHqao-1RLe987HcPE9KTg,"""Ruchi Tandoori Takeaway""",,"""3 London Road""",Edinburgh,EDH,EH7 5AP,55.9576443842,-3.1709213568,4.5,5,1,Restaurants;Fast Food;Indian,3229
3293,yv8m3r2v3xQtDCYnwJa99Q,"""Nando's""",Old Town,"""71-73 Lothian Road""",Edinburgh,MLN,EH3 9AZ,55.9469343791,-3.2056003580000003,4.0,34,1,Fast Food;Portuguese;Chicken Wings;Restaurants,3293
3295,4UIsN3GpiPsL5vZxUMKsHg,"""Laura's Kitchen""",West End,"""33 William Street""",Edinburgh,EDH,EH3 7LW,55.9488038979,-3.2137262820999997,4.5,14,1,Coffee & Tea;Event Planning & Services;Caterers;Restaurants;Food;Cafes;Breakfast & Brunch,3295
3324,nufnlBHEukhwqRA4LD-Q3A,"""Summerhall Kitchen""",Newington,"""9 Summerhall Pl""",Edinburgh,EDH,EH9 1QE,55.9393424,-3.1819043999999996,2.5,7,1,Restaurants;Chinese;Fast Food,3324
3408,Ye8uGq1K2ADPltIe7xUd0Q,"""The Riparian Rooms""",New Town,"""7-11 East London Street""",Edinburgh,MLN,EH7 4BN,55.959323399999995,-3.1903257000000003,4.0,9,0,Restaurants;Cocktail Bars;Bars;Nightlife;Scottish,3408
3575,YibFraUOKh4gnepR5YMmww,"""Auld Jocks Pie Shoppe""",Grassmarket,"""24 George IV Bridge""",Edinburgh,EDH,EH1 1EN,55.947874764,-3.1942155782,3.5,6,1,British;Bakeries;Food;Restaurants,3575
3635,QCH8Lk9uC4_rkqA2ls2y4w,"""The Bailie""",New Town,"""2 St Stephen Street, Stockbridge""",Edinburgh,EDH,EH3 5AL,55.9574050252,-3.2072246075,4.0,20,1,Restaurants;Gastropubs,3635
3810,0_jLX4hS_GKJ-4R7JYmxxg,"""Milk""",West End,"""232 Morrison Street""",Edinburgh,EDH,EH3 8EA,55.9462800213,-3.2136680172000003,4.0,41,1,Sandwiches;Food;Vegetarian;British;Coffee & Tea;Restaurants;Cafes;Breakfast & Brunch,3810
3863,8kLF0uiDIwVZMOj2JmoA8A,"""La Rusticana""",New Town,"""90 Hanover Street""",Edinburgh,EDH,EH2 1EL,55.9541807,-3.1977951,4.0,9,1,Italian;Restaurants,3863
4117,_I6Le3AZKRM_BRJQLs-M0A,"""China Palace""",Leith,"""27 Bernard Street""",Edinburgh,EDH,EH6 6SH,55.9757198,-3.1681517,3.0,3,1,Restaurants;Chinese,4117
4267,E7s0QreUJ2H9r0Ls1yDeiQ,"""David Bann""",Old Town,"""56-58 St Marys Street, Old Town""",Edinburgh,EDH,EH1 1SX,55.949512842299995,-3.1832812482999997,4.0,117,1,Vegetarian;Vegan;Restaurants,4267
4287,hWpHSSGx4oxxtiJuDEioFw,"""Pomegranate Restaurant""",New Town,"""1 Antigua Street, Leith Walk""",Edinburgh,EDH,EH1 3NH,55.9576817365,-3.1850913231,4.0,24,1,Middle Eastern;Restaurants,4287
4423,O_DugEeIsuQ0rrDt2aLeRw,"""Flip!""",Newington,"""54 Clerk Street""",Edinburgh,EDH,EH8 9JB,55.9420318604,-3.1817009449,4.0,11,1,Juice Bars & Smoothies;Restaurants;Food;Sandwiches,4423
4476,qu840hf1-I08p3Lcvdycyw,"""Subway""",Old Town,"""11 Forrest Road""",Edinburgh,EDH,EH1 2QH,55.9462233,-3.1913299,3.5,4,1,Sandwiches;Fast Food;Restaurants,4476
4906,NHucZLFgAhjlKKAKGd8R6g,"""Union of Genius""",Old Town,"""8 Forrest Road""",Edinburgh,EDH,EH1 2QN,55.9459706,-3.1909101000000004,4.5,28,1,Food;Soup;Restaurants;Coffee & Tea,4906
4971,iy-s39-qGxYteozM-25s3w,"""Hung Fung""",Leith,"""124 Ferry Road""",Edinburgh,EDH,EH6 4PG,55.974613600000005,-3.1850116,3.5,5,1,Restaurants;Fast Food,4971
5082,lH-S8MHH-BS7UzaOGj7BdQ,"""Frankie & Benny's""",Leith,"""Unit 7A, 98 Ocean Drive""",Edinburgh,EDH,EH6 6JJ,55.9808202477,-3.1786152141,2.0,5,1,Italian;Restaurants,5082
5143,nZfy_mBQ5hD4CJgPoyo9bg,"""Dionika""",Stockbridge,"""3-6 Canonmills Bridge""",Edinburgh,EDH,EH3 5LF,55.962780099999996,-3.1997017000000003,3.5,4,0,Restaurants;Tapas/Small Plates;Spanish;Basque,5143
5160,GNmUix03Fjar38DJWz_vsg,"""Kenji Sushi""",New Town,"""42 St Stephen Street""",Edinburgh,EDH,EH3 5AL,55.9579125,-3.2066161,5.0,6,1,Japanese;Restaurants;Sushi Bars,5160
5217,S9Ww82qYxi8agdSAVWF8YA,"""Positano""",Newington,"""85- 87 Newington Road""",Edinburgh,EDH,EH9 1QW,55.937846400000005,-3.1780828999999997,4.5,10,0,Italian;Restaurants,5217
5236,2fJVAT48V_eBf-vTjEOK_g,"""Marks & Spencer""",Old Town,"""Unit 9 - 4 Waverley Bridge, Edinburgh Waverley Station""",Edinburgh,EDH,EH1 1BQ,55.95231920689999,-3.189068175,4.0,14,1,Food;Sandwiches;Restaurants;Grocery,5236
5393,N4y5wl9kukE0Q87rDXy4eg,"""Asti""",New Town,"""73 Broughton Street""",Edinburgh,EDH,EH1 3RJ,55.9581437,-3.1892193,4.5,12,1,Italian;Restaurants,5393
5395,-gIN7wWtuVY-fnl4U5ap8w,"""Tony Singh's Road Trip""",Grassmarket,"""Apex Metro, Grassmarket""",Edinburgh,EDH,EH1 2JU,55.9473344,-3.1970736,3.5,5,1,Restaurants;British,5395
5466,_PhRcKcXTeHAGjhDlXg7uw,"""Uncle T's""",Old Town,"""8 Forrest Road""",Edinburgh,EDH,EH1 2QN,55.94578610000001,-3.1911241,5.0,4,0,Food;Sandwiches;Fast Food;Coffee & Tea;Restaurants,5466
5584,80NTyBDwAtppP3oL84PN7w,"""Bonoful Restaurant""",,"""13 Brighton Place""",Edinburgh,EDH,EH15 1LH,55.952071499999995,-3.1155923,5.0,4,1,Bangladeshi;Restaurants;Vegetarian;Indian,5584
5803,Jwp4UFa93ENe-0REPo5hCQ,"""The Cafe Royal""",New Town,"""19 W Register Street""",Edinburgh,EDH,EH2 2AA,55.9538098243,-3.1906367324000002,4.0,74,1,Restaurants;Bars;Nightlife;British;Seafood,5803
5965,Bj38QpVs5FPd-YBYGlMw9w,"""George Street Area""",New Town,"""George St, New Town""",Edinburgh,EDH,EH2 2,55.95292370000001,-3.2004714,3.5,11,1,Restaurants;Local Flavor;Shopping Centers;Shopping,5965
6215,BAn9xggxcFRfFom4ea3X5Q,"""Cipriani's""",,"""716 N Ct St""",Medina,OH,44256,41.1466218717,-81.863604218,3.0,3,0,Restaurants;Italian,6215
6347,ui99AtCcTZRCHEfNi1mYew,"""Jolly Ristorante & Pizzeria""",New Town,"""9 Elm Row""",Edinburgh,EDH,EH7 4AA,55.958527600000004,-3.1834514,3.5,23,1,Fast Food;Pizza;Restaurants,6347
6372,3UqJKEDIh7o0aTtVUo187Q,"""Red-Box Noodle Bar""",Newington,"""51 West Nicolson Street""",Edinburgh,MLN,EH8 9DB,55.9449383221,-3.1856356613999997,4.0,45,1,Fast Food;Restaurants;Asian Fusion;Japanese,6372
6429,IBa73HTOPcKkRw4wennYaQ,"""Dairy Queen""",,"""133 Northland Dr""",Medina,OH,44256,41.1528151,-81.8645649,3.0,4,1,American (Traditional);Fast Food;Ice Cream & Frozen Yogurt;Restaurants;Food;Burgers,6429
6452,TIfa9dGciBc4J6OeUfsueA,"""Guildford Arms""",New Town,"""1-5 W Register Street""",Edinburgh,EDH,EH2 2AA,55.9536829762,-3.1901166669,4.0,57,1,Restaurants;Pubs;British;Nightlife;Bars;Gastropubs,6452
6496,nWA_CjrtSC6ioP0TgSy5wQ,"""The Montgomery""",Leith,"""5-7 Montgomery Street""",Edinburgh,EDH,EH7 5JU,55.95941,-3.1823259999999998,3.5,3,1,Italian;Fish & Chips;Restaurants;Fast Food,6496
6550,Fx4ONDdL_3eM-KCQ49WUSQ,"""Wedgwood the Restaurant""",Royal Mile,"""Royal Mile, 267 Canongate""",Edinburgh,EDH,EH8 8BQ,55.951302,-3.182842,4.0,40,1,Restaurants;Brasseries,6550
6603,ENKljYr34XFtxuymLw_VCw,"""Bella Italia""",New Town,"""9/11 Hanover Street""",Edinburgh,EDH,EH2 2DL,55.952475899999996,-3.1964087,3.5,18,1,Restaurants;Italian,6603
6735,VVANVZo9Q8WIR9O7YBnSNA,"""The Square""",New Town,"""17 North St Andrew Street""",Edinburgh,KHL,EH2 1HJ,55.95561239999999,-3.1924425,3.5,7,1,Sandwiches;Coffee & Tea;Restaurants;Soup;Food,6735
6810,Zj-nbrngEUwyUtc7pz2e3g,"""Clambers""",,"""21 Dalkeith Road""",Edinburgh,EDH,EH16 5AD,55.939414,-3.172925,4.5,3,1,Restaurants;British,6810
6882,snuVqHL3RFcSZIM6OF9BNQ,"""Katie's Diner""",Bruntsfield,"""12 Barclay Terrace""",Edinburgh,EDH,EH10 4HP,55.9395961831,-3.2038946182999997,4.0,13,1,American (Traditional);Restaurants;Steakhouses;American (New),6882
7017,jISWXrs7ZYPQTf5hIKKnEQ,"""Rice King""",New Town,"""11 St Stephen Street""",Edinburgh,EDH,EH3 5AN,55.9576022,-3.2073106,4.0,5,0,Restaurants;Fast Food,7017
7147,fo5HXueCfv9DV0Wnyp2EcA,"""Ed's Easy Diner""",,"""Lawhouse Toll Fort Kinnaird""",Edinburgh,EDH,EH15 3RH,55.9332178685,-3.1067240408999997,2.5,4,0,Restaurants;Food;American (New);Street Vendors;American (Traditional),7147
7385,xxcLU5kymWd_cDKuIV0TOw,"""Turkish Kitchen""",New Town,"""120-122 Rose Street""",Edinburgh,EDH,EH2 3,55.9520223,-3.2012296,4.0,10,0,Turkish;Restaurants,7385
7425,lw6eINeY7tNThGOdlvrgBQ,"""Lovage""",Old Town,"""38 Saint Mary's Street""",Edinburgh,EDH,EH1 1SX,55.949850100000006,-3.1833664,4.5,10,1,Restaurants;Scottish;Modern European,7425
7700,ZRA0ozXV-mmH0vvdiVmIrw,"""La Garrigue Bistro""",Leith,"""88 Commercial Street""",Edinburgh,EDH,EH6 6LX,55.977052799999996,-3.1733356,4.5,4,0,Restaurants;French,7700
7801,H5TyHevMYmYGJeaN7LXe9Q,"""G&V Royal Mile Hotel""",Old Town,"""1 George IV Bridge""",Edinburgh,EDH,EH1 1AD,55.9491975105,-3.1927834857,4.5,46,1,Event Planning & Services;Restaurants;Modern European;Bars;Hotels & Travel;Hotels;Nightlife,7801
7852,LVKdUEcnFAPuLsfD_ahlRw,"""Rabble""",New Town,"""55a Frederick Street""",Edinburgh,EDH,EH2 1LH,55.9539336,-3.2008129000000003,4.0,32,1,Bars;Restaurants;Hotels;Champagne Bars;Beer Bar;Hotels & Travel;Event Planning & Services;Modern European;Nightlife,7852
7901,FN7aVgmb81RY6WHmSOV2cw,"""Bindi""",Newington,"""44-45 St Patrick Square""",Edinburgh,MLN,EH8 9ET,55.943436899999995,-3.1842085,4.5,11,0,Indian;African;Restaurants,7901
7911,PcgIJd82U6ZX6kOCdWIJmw,"""Tiles""",New Town,"""1 St Andrew's Square""",Edinburgh,EDH,EH2 2BD,55.9535484314,-3.1922221183999997,3.0,22,0,Lounges;Bars;Gastropubs;Nightlife;Pubs;Restaurants,7911
7965,22nYDauEwqz0HhFMIvtFBg,"""Espresso Mondo""",West End,"""116 Lothian Road""",Edinburgh,EDH,EH3 9,55.9460162,-3.2057854,3.5,21,0,Restaurants;Cafes,7965
8053,C451jDDMy9RL3AHZAxqw_A,"""Harry's Bar""",New Town,"""7b Randolph Place""",Edinburgh,EDH,EH3 7TH,55.9519015,-3.2110471,3.5,6,0,Restaurants;Bars;Nightlife;Italian;Pubs,8053
8195,R6KUx086738CnjCMhAm9Iw,"""Cafe Musa""",Royal Mile,"""16 North Bank Street""",Edinburgh,EDH,EH1 2LP,55.94972320000001,-3.1944583,4.0,11,1,Food;Coffee & Tea;Restaurants;Sandwiches;Tea Rooms,8195
8402,vZABkPfLYIIV3qW0vAQl-w,"""Meadowlark Cafe 39""",The Meadows,"""39 Argyle Place""",Edinburgh,EDH,EH9 1JT,55.9395044127,-3.1916635325,4.0,5,1,Cafes;Health & Medical;Food;Sports Medicine;Restaurants;Doctors;Acupuncture;Vegan;Coffee & Tea;Juice Bars & Smoothies,8402
8670,3waPXnRWtxjk9s9-9y0Z6w,"""The Meadows Hotel""",Newington,"""72 Causewayside""",Edinburgh,EDH,EH9 1PY,55.938013100000006,-3.1813927000000004,3.5,8,0,Restaurants;Lounges;Nightlife;Bars;American (New),8670
9071,89VzbB2jkOle19uIghsBlQ,"""Southpour""",Newington,"""1-5 Newington Road""",Edinburgh,EDH,EH9 1QR,55.939031846899994,-3.1791735788,3.5,9,1,Restaurants;British;Bars;Nightlife,9071
9253,Vbb9L6z4g-BcsdjrXtA-xg,"""Reverie""",Newington,"""1-5 Newington Road""",Edinburgh,EDH,EH9 1QR,55.938777,-3.1787509999999997,3.5,29,0,Nightlife;Bars;Restaurants;Wine Bars;Lounges,9253
9372,RtK1cXyBWoYQxH4rTIlI5A,"""KFC""",,"""15 Lochside Avenue""",Edinburgh,EDH,EH12 9DJ,55.9262018996,-3.3100291975,3.5,5,1,Restaurants;Fast Food,9372
9410,e6OOUKL7LP8fT_VI38KB8g,"""Sushi On The Roll""",,"""985 Boardman Alley""",Medina,OH,44256,41.153419,-81.864609,3.0,20,0,American (New);Caterers;Sushi Bars;Restaurants;Event Planning & Services,9410
9765,hfsuHlmWz9xSMuazogu63w,"""Giulianos""",,"""1 Commercial Street""",Edinburgh,PKN,KY13 0QJ,56.1780446,-3.5191971,3.5,24,1,Restaurants;Italian,9765
9802,AplxT8Xq5C1-Edt56FNq3A,"""Applebee's Neighborhood Grill & Bar""",,"""4115 Pearl Rd""",Medina,OH,44256,41.1628247,-81.8616707,3.0,7,1,Bars;Steakhouses;Nightlife;Chicken Wings;Sports Bars;Restaurants;Burgers;American (Traditional),9802
9959,DLVL5iVQRNNzfnYWiKAShw,"""Hamburger Heaven""",New Town,"""36 Broughton Street""",Edinburgh,EDH,EH1 3SB,55.958130700000005,-3.1897382999999997,4.5,7,0,Fast Food;Restaurants;American (Traditional);Burgers,9959
10198,AFRfPvNlnI2B3eUbjUQ7yw,"""Mister Lees""",,"""95 Inglis Gn Road""",Edinburgh,EDH,EH14 2EZ,55.9250363,-3.2559102,5.0,5,0,Chinese;Fast Food;Restaurants,10198
10460,T1pjHqxEdyqHMtVQU2V_CQ,"""Beirut""",Newington,"""24 Nicholson Square""",Edinburgh,EDH,EH8 9BX,55.9457778931,-3.1852738857,3.5,11,1,Restaurants;Middle Eastern,10460
10520,Yox22cU096v6SZkyXxAkrg,"""Dine with Stuart Muir""",Old Town,"""Saltire Court, 10 Cambridge Street""",Edinburgh,EDH,EH1 2ED,55.9476626186,-3.204875116,3.0,4,1,Restaurants;Cocktail Bars;Nightlife;Brasseries;Bars,10520
10596,l44o7vdL9Ol2u0sUYT2d9Q,"""La Dolce Vita""",Leith,"""Great Junction St, Leith""",Edinburgh,EDH,EH6 5,55.97071,-3.17212,3.5,3,1,Restaurants;Italian,10596
10655,vIaWHg-nbg4r1O-83NKRHQ,"""Casa Amiga""",Leith,"""294 Leith Walk""",Edinburgh,EDH,EH6 5BX,55.9653718596,-3.1765733287,4.5,9,1,Restaurants;Bakeries;Food;Cafes;Coffee & Tea;Patisserie/Cake Shop,10655
10739,L0XbcMxTi80hFEtrV3qZsA,"""Gaia""",Leith,"""32 Crighton Place""",Edinburgh,EDH,EH7 4NY,55.963493299999996,-3.1776888,4.0,17,1,Coffee & Tea;Delis;Food;Italian;Restaurants,10739
10769,quiMxKxKiA67WG-TIaAmhw,"""Royal Mile""",Old Town,"""Royal Mile""",Edinburgh,EDH,EH1 2PB,55.95020904890001,-3.1876230239999996,4.5,99,1,Beer Tours;Public Services & Government;Local Flavor;Tours;Restaurants;Shopping;Landmarks & Historical Buildings;Hotels & Travel,10769
10828,_tHOP4m368R_T0cA4Bo5zg,"""Siam Thani""",New Town,"""14 Broughton Street""",Edinburgh,EDH,EH1 3RH,55.957168200000005,-3.1885822,4.5,11,0,Thai;Restaurants,10828
11036,vZ4sB-7Re6S7lVnHjiObWA,"""Berits & Brown Leith Walk""",Leith,"""26-27 Haddington Place""",Edinburgh,EDH,EH7 4AF,55.96038050000001,-3.1825136,4.5,3,0,Restaurants;Delis,11036
11183,P9EInoWolGZ0p0AvMmsExg,"""La Favorita Morningside""",Morningside,"""350 Morningside Road""",Edinburgh,EDH,EH10 4QL,55.926885999999996,-3.209516,3.5,12,1,Pizza;Restaurants;Italian,11183
11199,m9n76n15hoS0B7ZnUf-2-Q,"""The Refinery""",New Town,"""St Andrew Square""",Edinburgh,EDH,EH2,55.9533888554,-3.193236428,2.5,3,1,Nightlife;British;Cocktail Bars;Bars;Restaurants,11199
11395,NB9SdvQk5sRCu8emyeR_Gw,"""The Honours""",New Town,"""58A N Castle Street""",Edinburgh,EDH,EH2 3LU,55.9533588925,-3.2043422539999997,4.5,27,1,Brasseries;Restaurants,11395
11514,k00mHw3DKk7HB44eXhz2tw,"""OX128""",Old Town,"""207 Cowgate""",Edinburgh,EDH,EH1 1JQ,55.948482999999996,-3.1877787,3.5,3,1,Burgers;Restaurants,11514
11518,B_O_Ur9ajQdz9i6U5-AkBQ,"""BRGR""",Old Town,"""4-6 Nicolson Street""",Edinburgh,EDH,EH8 9DH,55.9477364065,-3.1861767561,4.0,9,1,Burgers;Restaurants,11518
11610,GLkePfinNhFOEb2H6OZ4AA,"""Wagamama""",Leith,"""Ocean Terminal""",Edinburgh,EDH,EH6 6JJ,55.980264299999995,-3.1778027,3.5,7,1,Asian Fusion;Restaurants;Noodles;Japanese;Ramen,11610
11637,yRK1t7q3cWDKrl14D_JuOA,"""Cramond Falls Cafe""",,"""10 School Brae, Cramond""",Edinburgh,EDH,EH4 6JN,55.9751032,-3.3032431000000004,3.5,7,1,Restaurants;Cafes,11637
11657,6MR9GZjWjLAS3s39YdDXKw,"""Mark Greenaway""",New Town,"""69 North Castle Street""",Edinburgh,EDH,EH2 3LJ,55.9538732774,-3.2041668892,4.5,42,1,Restaurants;British,11657
11693,ot2d3TD3q54Oj05TXqhp3Q,"""The Caffeine Drip""",West End,"""10 Melville Place""",Edinburgh,EDH,EH3,55.9513107718,-3.2114460160000005,4.5,29,1,Restaurants;African;Cafes,11693
11823,qkmi4fccR60HhX1QBDMZpg,"""Ginger Restaurant""",Old Town,"""11 S College Street""",Edinburgh,EDH,EH8 9AA,55.946971700000006,-3.1868599,5.0,3,1,Indian;Restaurants;Himalayan/Nepalese,11823
11999,0QItAaP3FvwyfSE1tsD06g,"""Wellington Coffee""",New Town,"""70 Hanover Street""",Edinburgh,EDH,EH2 1EL,55.9537831,-3.1974267000000003,4.5,9,0,Restaurants;Cafes;Food;Coffee & Tea,11999
12002,JNmoVmO7rpQ502ekY6kuWA,"""Grams""",West End,"""16 Haymarket Terrace""",Edinburgh,EDH,EH12 5JZ,55.9456210236,-3.2195126092,4.0,4,1,Coffee & Tea;Food;Live/Raw Food;Restaurants,12002
12107,8_jL49XGK1BHP1rXkLNCpw,"""Tian Tian""",Bruntsfield,"""8 Gillespie Place""",Edinburgh,EDH,EH10 4HS,55.9408765,-3.2026037,4.5,3,1,Chinese;Restaurants,12107
12128,ynjAEdXdIw7JF153uABgoQ,"""Croma Pizzeria""",West End,"""Odeon Cinema, 118 Lothian Road""",Edinburgh,EDH,EH3 9BG,55.9457321274,-3.2058147855000003,4.5,3,1,Pizza;Italian;Restaurants,12128
12178,lRgjSzMaohV4ElBSlVCezA,"""Pizza Express""",Leith,"""Waterview House, 38 Shore, Leith""",Edinburgh,EDH,EH6 6QU,55.9758481,-3.1689479,4.0,14,1,Italian;Pizza;Restaurants,12178
12323,vhw6v7mPWz5nUsZAr_HBbw,"""Rhubarb""",,"""Priestfield Road""",Edinburgh,EDH,EH16 5UT,55.936557400000005,-3.1572466,4.5,17,1,British;Restaurants,12323
12459,P6SBB1EPVJ6VwVnxuY0mww,"""Jimmy Chung's""",Old Town,"""30 Grindlay Street""",Edinburgh,EDH,EH3 9AP,55.9467152,-3.2046452000000003,3.0,30,0,Restaurants;Buffets;Chinese,12459
12603,zZ7j1Lh4OulvhMPqHa6ODA,"""Eastern Cuisine Chinese Takeaway""",Haymarket,"""2-6 Dalry Road""",Edinburgh,EDH,EH11 2BG,55.942561899999994,-3.2221421,2.5,3,0,Fast Food;Restaurants,12603
